state,name,id,type,heatInput,load,co2Mass,so2Mass,noxMass,heatRate,co2Rate
IA,Prairie Creek,1073,Coal,3061096.47,1823505.96,290542362.774585,755023.767135,424465.511205,1.6786873951319579,159.33173192073636
IA,Prairie Creek,1073,Gas,3575151.646,2110519.15,318186091.393995,767124.70785,487611.9375,1.6939678779981695,150.76200156439944
IA,Walter Scott Jr. Energy Center,1082,Coal,68770271.89,7170564.2,6543188006.56917,8190436.31148,4838133.724679999,9.590636102247016,912.506718309442
IA,Walter Scott Jr. Energy Center,1082,Oil,39399751.76,4005789.61,3748713850.9365754,7033422.541515,4172240.8837949997,9.835701720740147,935.8239488110748
IA,George Neal North,1091,Coal,7620800.897,771839.64,725085532.689675,1213436.1410400001,951820.31637,9.873554689417091,939.42510220086
IA,Burlington (IA),1104,Gas,322828.018,30224.33,17360825.653364997,87.08976,11067.657,10.68106449340647,574.3990240102922
IA,Ames,1122,Gas,4575693.724,349609.29,246069941.45037,23891.62416,244781.192625,13.08802098479706,703.8426852168889
IA,Streeter Station,1131,Coal,129589.101,8032.1,7130283.59115,2700.689745,16400.09043,16.13390034984624,887.7234585164526
IA,Muscatine,1167,Coal,13082541.58,1124679.6,1244742851.357235,1258294.6249199999,2275646.35695,11.632238710473631,1106.7532934332896
IA,Muscatine,1167,Oil,8497619.253,754826.17,808508996.13786,44174.46639000001,570158.5150199999,11.25771679723293,1071.1194554076733
IA,Muscatine,1167,Gas,4584922.327,369853.43,436233855.219375,1214120.1585300001,1705487.84193,12.396592690785644,1179.4776520509085
IA,Summit Lake,1206,Oil,80230.3,4517.75,4385967.319499999,41.730509999999995,26519.739105,17.758906535332855,970.8300192573736
IA,Earl F Wisdom,1217,Oil,60861.877,4366.92,3335214.85014,29.02992,1922.3250150000001,13.937025867201598,763.7453514467863
KS,Cimarron River,1230,Gas,58475.968,4771.72,3153325.1648250003,16.32933,6238.711245,12.254693904923172,660.8361691014981
KS,Fort Dodge aka Judson Large,1233,Gas,108688.319,9286.07,5859461.648564999,29.937105000000003,6595.23495,11.70444752193339,630.994774814857
KS,Great Bend Station aka Arthur Mullergren,1235,Gas,210439.875,19268.34,11345174.870535,57.152655,16324.794075,10.921536312936142,588.7987688890169
KS,Riverton,1239,Gas,11055131.24,1516507.55,596010837.213315,3009.132645,125368.43107499999,7.289862315555237,393.0154104496974
KS,Gordon Evans Energy Center,1240,Oil,2253050.698,193400.59,123296776.15152,2133.6991199999998,39196.742295,11.649657831964214,637.5201655357928
KS,La Cygne,1241,Coal,69988832.04,7190891.93,6658282425.0911255,736797.5133,2814945.1598250004,9.7329834353386,925.9327618752193
KS,La Cygne,1241,Oil,34675411.82,3528333.98,3298395929.541315,378382.32757500006,1340410.289565,9.82770112369011,934.8309848891672
KS,Hutchinson Energy Center,1248,Oil,943712.2,34625.24,,68388.14122500001,367871.68216500006,27.255037076999322,
KS,Hutchinson Energy Center,1248,Gas,806584.7,32990.67,,37287.117869999995,293232.129105,24.448872969236454,
KS,Lawrence Energy Center,1250,Coal,22923602.38,2181340.37,2176395680.42028,202179.785025,1293308.3371799998,10.508952520784273,997.7331875173061
KS,Chanute 2,1268,Gas,3340827.503,260481.66,180113444.30055,908.99937,119312.9712,12.825576675916453,691.4630546371288
KS,Coffeyville,1271,Gas,23219.857,1863.79,1251559.68348,6.350295000000001,1461.4750350000002,12.458408404380322,671.5132517504654
KS,Quindaro,1295,Oil,228631.5,8921.49,,153.314265,124445.82393,25.62705332853593,
KS,McPherson 2,1305,Oil,588445.0,32923.46,,258.547725,90457.23071999999,17.87312147629684,
KS,McPherson 2,1305,Gas,489121.3,27481.86,,169.643595,65857.095075,17.797969278644167,
KS,Garden City,1336,Gas,461787.698,31846.83,4614942.62787,126.098715,40191.92424000001,14.500272020794533,144.91058067223645
KY,Big Sandy,1353,Gas,5272827.921,536450.88,284274305.9092051,12317.75793,390112.229625,9.829097346247247,529.9167482197159
KY,E W Brown,1355,Coal,12021482.8,1135317.4,1118923752.546675,329232.858645,260495.45119499997,10.588653710407328,985.5602957786739
KY,E W Brown,1355,Gas,4612028.453,392027.38,250372036.795065,9353.077350000001,160114.52376000004,11.764556988340967,638.6595670819344
KY,Ghent,1356,Coal,105379877.3,11053193.03,9808463109.805052,9684243.41988,5561558.4238950005,9.533885549088254,887.3872991436441
KY,Cane Run,1363,Gas,30726236.51,4495721.48,1656533005.005825,8362.43133,357205.00093499996,6.834550727105986,368.4687791214826
KY,Mill Creek,1364,Coal,75400787.26,8031098.09,7009307550.2643,2875321.950315,4891876.271264999,9.388602456977338,872.7707558437131
KY,Paddy's Run,1366,Gas,1028784.658,94957.47,54519355.49272501,280.32016500000003,49965.935430000005,10.8341624729471,574.1449882007704
KY,Paradise,1378,Gas,47388680.85,7034446.94,2554842370.9566603,12897.449145,417746.899095,6.736660501415339,363.1902255782258
KY,Shawnee,1379,Coal,71574366.28,6575466.63,6809980903.79481,12995977.600665001,6553974.36183,10.88506265904356,1035.665038998884
KY,Robert Reid,1383,Oil,21123.7,1378.0,,575.15529,6706.818705,15.329245283018869,
KY,John S. Cooper,1384,Coal,5962589.458,615855.12,554980922.602005,140463.989475,345582.14671500004,9.681805451256132,901.1550031475017
LA,Louisiana 1,1391,Oil,11082393.92,2970520.25,597483090.5133001,4356.302369999999,405100.740195,3.7307922475869337,201.13752482020618
LA,Louisiana 1,1391,Gas,38858121.96,3601625.4,2094949081.9492953,19145.232239999998,1125421.959525,10.789051509909942,581.6676775850412
LA,R S Nelson,1393,Coal,25273027.56,2179774.41,2404619568.361965,5632666.30575,2126314.6341000004,11.594331708848713,1103.1506551001141
LA,Coughlin Power Station,1396,Gas,29090058.36,3937499.88,1568323217.16831,7917.91068,454255.652235,7.387951554680428,398.3043212609088
LA,Teche Power Station,1400,Oil,3053934.061,290456.82,164647072.21743,830.9814600000001,359325.999465,10.514244633677391,566.855590505432
LA,Teche Power Station,1400,Gas,3138662.861,297420.92,169182362.18793002,853.661085,359980.07985,10.552932392919772,568.8314130288146
LA,Little Gypsy,1402,Oil,6445964.766,547921.69,347520621.43737,1754.49579,399955.18687499996,11.764390575594845,634.2523535386417
LA,Little Gypsy,1402,Gas,9717931.534,874405.3,523921704.1461751,2645.3514600000003,835905.66018,11.113761014486073,599.1748953788078
LA,Ninemile Point,1403,Oil,74683581.55,8694714.25,4027391095.73691,20335.45896,5547341.927759999,8.589538356594066,463.1999373339854
