date,year,month,dow,btc,hashrate,btcReward,difficulty,btcDiffEra,mWhPerBTC,revPerMWhBTC,coal,coalLag,costMWh,costMWhLag,paLMP,paLMPQuantile,dummyBuy,dummySell,temp,precip,heatInput,load,co2Mass,so2Mass,noxMass,loadPanther,loadCambria,co2MassCambria,loadColver,co2MassColver,loadGilberton,co2MassGilberton,loadMtCarmel,co2MassMtCarmel,loadStNicholas,co2MassStNicholas,loadNorthampton,co2MassNorthampton
2016-10-04,2016,10,2,609.62,1894652.12,12.5,241227000000.0,108.0,0.8923358624749794,683.1732597961044,41.45,43.35,28.952680722891564,18.10912017167382,22.387907416666668,2,1,0,14.355853469966235,0.23254409926601388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,957.0,1588.5716535,1829926.8974583335,3324.1979955,0.0,0.0
2016-10-05,2016,10,3,607.18,2002575.351,12.5,241227000000.0,108.0,0.9431651246909222,643.7685025715667,41.45,43.35,28.952680722891564,18.10912017167382,20.621227666666666,1,1,0,14.79897971710733,0.12961208821147094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,1555.0965270000002,1829823.2365,3263.7794745,0.0,0.0
2016-10-06,2016,10,4,612.08,1930626.53,12.5,241227000000.0,108.0,0.9092789497233017,673.1487627490543,41.45,43.35,28.952680722891564,18.10912017167382,20.731622458333334,1,1,0,14.574932557248985,0.6130548614274671,9960200000.0,506383.78145833337,961.5072378000001,1.6256755200000002,0.6304935749999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.0,1594.5590745000002,1824640.1885833335,3323.8351215000002,0.0,0.0
2016-10-07,2016,10,5,617.21,1726771.55,12.5,241227000000.0,108.0,0.8132681266925704,758.9255987568246,40.75,43.35,28.640210843373495,18.10912017167382,22.401567416666666,2,1,0,14.821344165627863,1.306346660787506,13702200000.0,735474.499375,1322.7664485,1.65651981,1.0414483799999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982.0,1643.456346,1835006.2844166667,3372.6416744999997,0.0,0.0
2016-10-08,2016,10,6,614.74,2171858.804,12.5,250540000000.0,109.0,1.0228935848345697,600.9813817528443,40.75,43.35,28.640210843373495,18.10912017167382,20.754408333333334,1,1,0,12.930886445050817,9.120051495992453,12851400000.0,736303.7870416667,1240.7569245,1.815277185,1.158475245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.0,1624.405461,1837805.1302916666,3323.8351215000002,0.0,0.0
2016-10-09,2016,10,7,615.65,2056197.68,12.5,258523000000.0,109.0,0.9684199599670317,635.7262607649669,40.75,43.35,28.640210843373495,18.10912017167382,16.710893875,0,1,0,10.7057344684996,10.453516032747746,10937800000.0,624660.9349166667,1055.8726215000002,1.510463025,0.89448441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,678.8,1109.3421054,1822877.9522916668,3367.9243125000003,0.0,0.0
2016-10-10,2016,10,1,617.54,1606404.44,12.5,258523000000.0,109.0,0.7565780949016836,816.2277022839903,40.75,43.35,28.640210843373495,18.10912017167382,17.489466916666668,0,1,0,9.28976685775433,0.0055139230287354225,13411100000.0,732468.3315833334,1294.552995,1.838863995,1.011511275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964.0,1572.333042,1810542.2982500002,3386.521605,0.0,0.0
2016-10-11,2016,10,2,614.77,1786321.738,12.5,258523000000.0,109.0,0.841314841869775,730.7252521941823,40.75,43.35,28.640210843373495,18.10912017167382,20.470271395833333,1,1,0,9.978156379864572,0.14283062745043645,13893200000.0,761493.3999166667,1341.2730225,1.8978310200000001,1.0913435550000001,0.0,293207.093865,455.10205584,0.0,0.0,0.0,0.0,972.0,1574.6010045,1813652.127,3366.1099425,0.0,0.0
2016-10-12,2016,10,3,635.01,1863429.15,12.5,258523000000.0,109.0,0.8776305898975626,723.5504405949645,40.75,43.35,28.640210843373495,18.10912017167382,19.965422645833332,1,1,0,11.907930368795917,1.207469523334719,13721900000.0,721169.287125,1324.7622555,1.86335799,1.044169935,0.0,1761129.1926316668,2482.86192591,0.0,0.0,0.0,0.0,972.0,1590.113868,1822152.3255833336,3345.69828,0.0,0.0
2016-10-13,2016,10,4,635.96,1644958.14,12.5,258523000000.0,109.0,0.7747359660897211,820.8732107918563,40.75,43.35,28.640210843373495,18.10912017167382,19.531808854166666,1,1,0,10.856720585741186,1.170222813726308,17968300000.0,1028835.0114583333,1734.4470015000002,2.5364892599999997,1.187505165,0.0,1984900.0301666667,2769.9079605,0.0,0.0,0.0,0.0,963.0,1593.8333265,1819871.7845,3367.107846,0.0,0.0
2016-10-14,2016,10,5,634.02,1747768.032,12.5,258523000000.0,109.0,0.8231569678558813,770.2297675393115,42.25,43.35,29.3097891566265,18.10912017167382,22.10466425,2,1,0,9.030838455436253,0.013146562923247887,20734200000.0,1273060.2292916668,2001.7037025,2.626300575,1.517720505,0.0,1984485.3863333336,2768.2750275,0.0,0.0,36.28133541666667,1.174804575,953.0,1531.6004355,1811682.5687916668,3361.483299,0.0,0.0
2016-10-15,2016,10,6,637.94,1824875.44,12.5,258523000000.0,109.0,0.8594727139997644,742.2457858274427,42.25,43.35,29.3097891566265,18.10912017167382,20.68508875,1,1,0,10.732589319281317,0.07463200085153585,20618400000.0,1298975.468875,1990.6360455000001,2.657144865,1.5222564299999999,0.0,1990808.7047916667,2739.2451075,0.0,0.0,365829.8880541667,700.2624517950001,967.0,1543.121685,1820390.0892916666,3320.0249445,0.0,0.0
2016-10-16,2016,10,7,641.42,1670660.61,12.5,258523000000.0,109.0,0.7868412151183327,815.1835309027846,42.25,43.35,29.3097891566265,18.10912017167382,21.927812375000002,1,1,0,13.944781445904425,4.173595938698312,20857900000.0,1327793.2152916668,2013.4971075,2.611785615,1.2836667750000001,0.0,1992985.5849166666,2790.2289044999998,0.0,0.0,1763169.2402916667,2775.8953815,975.0,1609.164753,1830963.5070416667,3325.377336,0.0,0.0
2016-10-17,2016,10,1,638.97,1606404.441,12.5,258523000000.0,109.0,0.7565780953726599,844.5526032382278,42.25,43.35,29.3097891566265,18.10912017167382,31.716239020833335,5,1,0,16.831511023917642,0.6243752007277256,22193000000.0,1562792.6078333335,2142.77097,2.945629695,1.7163940199999999,0.0,1996821.040375,2765.09988,0.0,0.0,1900934.6539166667,2893.194402,982.0,1661.1464535,1828164.6611666668,3383.3464575000003,0.0,0.0
2016-10-18,2016,10,2,636.29,1991941.5,12.5,258523000000.0,109.0,0.9381568350406218,678.2341461835098,42.25,43.35,29.3097891566265,18.10912017167382,36.87641589583333,7,1,0,18.333196209878622,0.17756197182360725,21036400000.0,1362623.2972916667,2030.9150594999999,2.736977145,1.48415466,0.0,2009882.3211250002,2773.627419,0.0,0.0,1912959.3250833335,2910.8845094999997,979.0,1684.8239820000001,1840189.3323333336,3432.606603,0.0,0.0
2016-10-19,2016,10,3,629.25,1619255.67,12.5,258523000000.0,109.0,0.7626307170611091,825.104452158565,42.25,43.35,29.3097891566265,18.10912017167382,32.156836062500005,5,1,0,17.383549408284864,0.7862889020001964,21436700000.0,1415801.3689166668,2069.5611405000004,2.79594417,1.50229836,0.0,1993296.5677916666,2775.7139445,0.0,0.0,1925813.2839166666,2891.8336245,984.0,1720.2949155,1830237.8803333335,3458.733531,0.0,0.0
2016-10-20,2016,10,4,627.72,1722065.561,12.5,258523000000.0,109.0,0.8110517183562935,773.9580421235773,42.25,43.35,29.3097891566265,18.10912017167382,25.526584895833334,3,1,0,15.307870211161912,6.612832956721125,21552900000.0,1396831.4135416667,2080.719516,2.883941115,1.495948065,0.0,1987906.1979583337,2772.1759230000002,0.0,0.0,1906532.3456666667,2895.0087719999997,978.0,1665.773097,1822463.3084583336,3388.2452565000003,0.0,0.0
2016-10-21,2016,10,5,631.92,2107602.62,12.5,258523000000.0,109.0,0.9926304580242553,636.6115354326139,42.25,43.35,29.3097891566265,18.10912017167382,23.948527374999998,2,1,0,12.44640811607644,9.754308966088939,22005100000.0,1315975.8660416668,2124.5365515000003,2.9002704450000003,1.5830378250000001,0.0,1805462.9112916668,2504.7377850000003,0.0,0.0,1904770.1093750002,2896.0973940000003,963.0,1642.8213165000002,1821841.3427083336,3372.91383,0.0,0.0
2016-10-22,2016,10,6,655.48,1878507.28,12.5,257535000000.0,110.0,0.884732028729542,740.8796999711387,42.25,43.35,29.3097891566265,18.10912017167382,21.5134771875,1,1,0,7.026437260478019,5.436999697586252,19073100000.0,1176344.5551666669,1841.0412390000001,2.513809635,1.32630447,0.0,1982619.4890833336,2809.3705080000004,0.0,0.0,1931203.65375,2937.5557485,968.0,1581.767766,1801316.4729583336,3428.1613965,0.0,0.0
2016-10-23,2016,10,7,653.25,1815470.125,12.5,253618000000.0,110.0,0.8550430354409515,763.9966328280944,42.25,43.35,29.3097891566265,18.10912017167382,18.962531833333333,0,1,0,8.47414120030055,0.029695891685238188,18104600000.0,1126172.6513333335,1748.0547765000001,2.33690856,1.187505165,0.0,1983241.4548333336,2769.0007755,0.0,0.0,1923014.4380416668,2939.9144295,972.0,1609.164753,1791883.32575,3461.455086,0.0,0.0
2016-10-24,2016,10,1,651.39,1802862.69,12.5,253618000000.0,110.0,0.8491052348993288,767.1487269504702,42.25,43.35,29.3097891566265,18.10912017167382,24.759131791666668,3,1,0,10.190629748016022,0.519261608427973,22697100000.0,1337641.0063333334,2191.1239305000004,3.110737365,1.559451015,0.0,1985107.3520833335,2777.80047,0.0,0.0,1927471.8592500002,2933.7455715,965.0,1582.4027955,1804322.64075,3415.370088,0.0,0.0
2016-10-25,2016,10,2,655.31,1752432.96,12.5,253618000000.0,110.0,0.8253540374425998,793.9744282714244,42.25,43.35,29.3097891566265,18.10912017167382,25.774427625,3,1,0,6.38451795830872,0.058155014101527035,22306500000.0,1343446.02,2153.5664715000003,2.95016562,2.00125011,0.0,986645.0014166668,1457.7011453999999,0.0,0.0,1945197.8831250002,2930.2982685,970.0,1546.4782695000001,1814066.7708333335,3428.2521150000002,0.0,0.0
2016-10-26,2016,10,3,651.45,1752432.968,12.5,253618000000.0,110.0,0.8253540412104087,789.2976437658527,42.25,43.35,29.3097891566265,18.10912017167382,28.252143583333332,4,1,0,5.245980269143502,3.1922543478096936,23971700000.0,1421295.3997083334,2314.5010905000004,3.168797205,1.74360957,0.0,1441217.9992904167,2083.5154601699996,0.0,0.0,1932032.9414166666,2905.6228365,972.0,1561.5375405,1809505.6886666666,3405.935364,0.0,0.0
2016-10-27,2016,10,4,682.22,2042403.89,12.5,253618000000.0,110.0,0.9619234145767103,709.2248610043531,42.25,43.35,29.3097891566265,18.10912017167382,28.283381249999998,4,1,0,7.143619380769792,6.223209154207618,24666100000.0,1440161.6941250002,2381.542062,3.18603372,1.59483123,0.0,1984589.0472916667,2797.395666,0.0,0.0,1943539.3077916666,2952.161427,973.0,1580.6791440000002,1814066.7708333335,3426.7099005000005,0.0,0.0
